estado;cidade;marca;modelo;cambio;ano;km;preco;link;faixa_preco;preco_norm;km_norm
MT;Sinop;Honda;HR-V HR-V LX CVT 1.8 I-VTEC FlexOne automático;Não informado;2018/2019;111000.0;106900.0;https://www.icarros.com.br/comprar/sinop-mt/honda/hr-v/2019/d53517821?pos=81&hfv=true&financiamento=true;Intermediário;0.1634256041287511;0.11099033188398261
RO;Porto Velho;Honda;HR-V HR-V EXL CVT 1.8 I-VTEC FlexOne automático;ERRO;2019/2019;80650.0;;https://www.icarros.com.br/comprar/porto-velho-ro/honda/hr-v/2019/d53217752?pos=82&hfv=true&financiamento=true;;;0.08063996767961215
SP;São Paulo;Jeep;Renegade Renegade 1.3 T270 Longitude automático;Não informado;2024/2024;32000.0;109880.0;https://www.icarros.com.br/comprar/sao-paulo-sp/jeep/renegade/2024/d53596144?pos=84&hfv=true&financiamento=true;Intermediário;0.16869619968836277;0.03198938387260647
PB;Campina Grande;Chevrolet;Tracker Tracker 1.2 Turbo Premier (Aut) automático;Não informado;2022/2023;46370.0;115090.0;https://www.icarros.com.br/comprar/campina-grande-pb/chevrolet/tracker/2023/d53557356?pos=85&hfv=false&financiamento=true;Intermediário;0.1779108986365429;0.046359556314675775
AM;Manaus;Toyota;Corolla Corolla 2.0 XEi automático;ERRO;2019/2020;44559.0;;https://www.icarros.com.br/comprar/manaus-am/toyota/corolla/2020/d52930608?pos=86&hfv=true;;;0.04454853458241499
MA;Imperatriz;Chevrolet;Tracker Tracker 1.0 Turbo LTZ (Aut) automático;Não informado;2023/2024;47659.0;117290.0;https://www.icarros.com.br/comprar/imperatriz-ma/chevrolet/tracker/2024/d53592258?pos=88&hfv=false&financiamento=true;Intermediário;0.18180194233826966;0.047648571782861394
RO;Porto Velho;Jeep;Renegade Renegade 1.3 T270 Longitude automático;ERRO;2023/2023;39271.0;;https://www.icarros.com.br/comprar/porto-velho-ro/jeep/renegade/2023/d53354346?pos=87&hfv=false&financiamento=true;;;0.03926047112565351
SP;São Paulo;Jeep;Renegade Renegade 1.3 T270 Série S 4WD automático;Não informado;2023/2023;32201.0;123990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/jeep/renegade/2023/d53582158?pos=89&hfv=true&financiamento=true;Premium;0.19365193906625564;0.032190386284635414
PA;Santarém;Hyundai;Creta Creta 1.0 T-GDI Comfort (Aut) automático;Não informado;2023/2024;48000.0;127000.0;https://www.icarros.com.br/comprar/santarem-pa/hyundai/creta/2024/d53096482?pos=90&hfv=true&financiamento=true;Premium;0.19897559431270903;0.0479895758749105
MA;São Luís;Ford;Edge Edge 3.5 V6 Titanium 4WD (Aut) automático;Não informado;2018/2018;46000.0;147990.0;https://www.icarros.com.br/comprar/sao-luis-ma/ford/edge/2018/d53207734?pos=93&hfv=true;Premium;0.23609968853963825;0.045989551874622496
SP;Guarulhos;Hyundai;Creta Creta 1.0 T-GDI Limited (Aut) automático;Não informado;2024/2025;11000.0;137900.0;https://www.icarros.com.br/comprar/guarulhos-sp/hyundai/creta/2025/d53472060?pos=91&hfv=true&financiamento=true;Premium;0.21825394719853697;0.010989131869582435
GO;Jataí;Honda;HR-V HR-V 1.5 EXL CVT automático;Não informado;2023/2023;36600.0;142900.0;https://www.icarros.com.br/comprar/jatai-go/honda/hr-v/2023/d53461181?pos=92&hfv=true&financiamento=true;Premium;0.227097228338825;0.03658943907326888
SP;São Paulo;Volkswagen;T-Cross T-Cross 1.4 250 TSI Highline (Aut) automático;Não informado;2025/2025;2985.0;155990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/volkswagen/t-cross/2025/d53596065?pos=94&hfv=true&financiamento=true;Premium;0.2502489383640991;0.0029740356884282613
PA;Santarém;Chevrolet;Onix Plus Onix Plus 1.0 LT manual;Não informado;2021/2022;49000.0;69900.0;https://www.icarros.com.br/comprar/santarem-pa/chevrolet/onix-plus/2022/d52747219?pos=97&hfv=true&financiamento=true;Popular;0.09798532369061957;0.0489895878750545
RO;Ji-Paraná;Fiat;Mobi Mobi 1.0 Like manual;Não informado;2023/2024;48300.0;56990.0;https://www.icarros.com.br/comprar/ji-parana-ro/fiat/mobi/2024/d53563655?pos=96&hfv=false&financiamento=true;Popular;0.07515197178639585;0.0482895794749537
